LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M
40.99041,35.75761,2010,01,01,   11.84,   -0.24,    6.13
40.99041,35.75761,2010,01,02,   13.78,    3.74,    7.89
40.99041,35.75761,2010,01,03,    6.90,    1.20,    3.35
40.99041,35.75761,2010,01,04,    2.67,   -4.31,   -0.11
40.99041,35.75761,2010,01,05,    3.17,   -4.42,   -1.90
40.99041,35.75761,2010,01,06,    7.87,   -4.24,    1.33
40.99041,35.75761,2010,01,07,    9.46,   -0.01,    3.97
40.99041,35.75761,2010,01,08,   13.62,    2.10,    6.39
40.99041,35.75761,2010,01,09,   13.19,   -0.10,    5.62
40.99041,35.75761,2010,01,10,   12.29,    3.06,    6.74
40.99041,35.75761,2010,01,11,    6.83,   -0.84,    3.06
40.99041,35.75761,2010,01,12,    8.99,   -1.34,    3.26
40.99041,35.75761,2010,01,13,    8.23,    0.50,    3.63
40.99041,35.75761,2010,01,14,    7.59,    2.04,    4.03
40.99041,35.75761,2010,01,15,    6.29,    1.23,    3.02
40.99041,35.75761,2010,01,16,    5.19,    0.68,    2.45
40.99041,35.75761,2010,01,17,    5.65,    0.58,    2.77
40.99041,35.75761,2010,01,18,   10.37,    1.40,    5.01
40.99041,35.75761,2010,01,19,    8.01,    1.54,    4.51
40.99041,35.75761,2010,01,20,    5.48,   -0.30,    2.36
40.99041,35.75761,2010,01,21,    5.47,   -3.51,    0.66
40.99041,35.75761,2010,01,22,    5.40,   -4.70,   -0.13
40.99041,35.75761,2010,01,23,    7.04,    0.05,    2.62
40.99041,35.75761,2010,01,24,    1.05,   -3.77,   -1.19
40.99041,35.75761,2010,01,25,   -3.80,   -7.67,   -5.29
40.99041,35.75761,2010,01,26,   -5.02,   -8.90,   -7.17
40.99041,35.75761,2010,01,27,   -1.14,  -11.78,   -6.10
40.99041,35.75761,2010,01,28,    1.80,   -4.48,   -1.62
40.99041,35.75761,2010,01,29,    6.75,   -2.13,    1.59
40.99041,35.75761,2010,01,30,    8.51,    0.21,    3.04
40.99041,35.75761,2010,01,31,   11.45,   -0.06,    4.26
40.99041,35.75761,2010,02,01,   10.30,    1.11,    4.22
40.99041,35.75761,2010,02,02,   11.86,   -0.43,    4.46
40.99041,35.75761,2010,02,03,    3.86,   -3.74,    0.85
40.99041,35.75761,2010,02,04,   -0.64,   -5.41,   -3.54
40.99041,35.75761,2010,02,05,   -0.77,   -5.55,   -3.41
40.99041,35.75761,2010,02,06,    1.50,   -6.05,   -2.65
40.99041,35.75761,2010,02,07,    5.24,   -6.06,   -0.72
40.99041,35.75761,2010,02,08,    5.41,   -0.81,    1.46
40.99041,35.75761,2010,02,09,    7.96,   -1.35,    1.88
40.99041,35.75761,2010,02,10,    8.74,   -1.94,    2.25
40.99041,35.75761,2010,02,11,    8.00,    0.51,    3.68
40.99041,35.75761,2010,02,12,   12.65,    2.44,    6.11
40.99041,35.75761,2010,02,13,   12.42,    1.73,    6.24
40.99041,35.75761,2010,02,14,   14.61,    2.93,    8.44
40.99041,35.75761,2010,02,15,   18.84,    4.69,   11.06
40.99041,35.75761,2010,02,16,    8.38,    0.52,    5.06
40.99041,35.75761,2010,02,17,   14.28,   -0.45,    6.64
40.99041,35.75761,2010,02,18,   15.24,    3.10,    8.67
40.99041,35.75761,2010,02,19,   11.85,    3.09,    7.52
40.99041,35.75761,2010,02,20,   13.43,    1.61,    7.73
40.99041,35.75761,2010,02,21,   12.90,    5.12,    9.62
40.99041,35.75761,2010,02,22,    7.01,   -0.80,    2.93
40.99041,35.75761,2010,02,23,    6.35,   -0.60,    2.60
40.99041,35.75761,2010,02,24,   10.56,   -0.26,    4.60
40.99041,35.75761,2010,02,25,   12.73,    1.14,    6.34
40.99041,35.75761,2010,02,26,   13.32,    1.92,    7.16
40.99041,35.75761,2010,02,27,   10.85,    3.00,    6.24
40.99041,35.75761,2010,02,28,   12.30,    2.52,    6.44
40.99041,35.75761,2010,03,01,   12.14,    2.86,    6.21
40.99041,35.75761,2010,03,02,   15.79,    3.75,    8.80
40.99041,35.75761,2010,03,03,    5.94,   -3.51,    2.63
40.99041,35.75761,2010,03,04,    8.96,   -4.38,    2.52
40.99041,35.75761,2010,03,05,   12.39,    2.43,    6.98
40.99041,35.75761,2010,03,06,   12.60,    4.12,    7.82
40.99041,35.75761,2010,03,07,    8.36,   -1.51,    3.33
40.99041,35.75761,2010,03,08,    9.29,   -1.28,    4.59
40.99041,35.75761,2010,03,09,   16.57,    6.67,   11.01
40.99041,35.75761,2010,03,10,    8.81,   -0.46,    4.55
40.99041,35.75761,2010,03,11,   14.00,   -0.94,    6.53
40.99041,35.75761,2010,03,12,   16.33,    5.86,   10.14
40.99041,35.75761,2010,03,13,   11.09,    2.36,    6.68
